date,new_cases
1/3/20,0
1/4/20,0
1/5/20,0
1/6/20,0
1/7/20,0
1/8/20,0
1/9/20,0
1/10/20,0
1/11/20,0
1/12/20,0
1/13/20,0
1/14/20,0
1/15/20,0
1/16/20,0
1/17/20,0
1/18/20,0
1/19/20,0
1/20/20,0
1/21/20,0
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,5
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,3
3/8/20,0
3/9/20,0
3/10/20,0
3/11/20,3
3/12/20,0
3/13/20,0
3/14/20,3
3/15/20,6
3/16/20,5
3/17/20,0
3/18/20,0
3/19/20,0
3/20/20,0
3/21/20,0
3/22/20,10
3/23/20,6
3/24/20,2
3/25/20,32
3/26/20,6
3/27/20,11
3/28/20,15
3/29/20,8
3/30/20,0
3/31/20,52
4/1/20,26
4/2/20,43
4/3/20,34
4/4/20,1
4/5/20,29
4/6/20,38
4/7/20,30
4/8/20,56
4/9/20,21
4/10/20,77
4/11/20,0
4/12/20,34
4/13/20,52
4/14/20,58
4/15/20,105
4/16/20,24
4/17/20,51
4/18/20,63
4/19/20,25
4/20/20,63
4/21/20,30
4/22/20,66
4/23/20,84
4/24/20,50
4/25/20,104
4/26/20,133
4/27/20,68
4/28/20,172
4/29/20,124
4/30/20,0
5/1/20,344
5/2/20,298
5/3/20,0
5/4/20,0
5/5/20,0
5/6/20,755
5/7/20,168
5/8/20,171
5/9/20,0
5/10/20,839
5/11/20,262
5/12/20,303
5/13/20,0
5/14/20,372
5/15/20,714
5/16/20,349
5/17/20,233
5/18/20,437
5/19/20,583
5/20/20,490
5/21/20,531
5/22/20,540
5/23/20,736
5/24/20,716
5/25/20,512
5/26/20,737
5/27/20,548
5/28/20,637
5/29/20,643
5/30/20,784
5/31/20,651
6/1/20,656
6/2/20,742
6/3/20,775
6/4/20,624
6/5/20,1078
6/6/20,582
6/7/20,791
6/8/20,575
6/9/20,305
6/10/20,920
6/11/20,748
6/12/20,656
6/13/20,556
6/14/20,664
6/15/20,761
6/16/20,106
6/17/20,1241
6/18/20,463
6/19/20,541
6/20/20,419
6/21/20,536
6/22/20,310
6/23/20,338
6/24/20,159
6/25/20,535
6/26/20,85
6/27/20,356
6/28/20,351
6/29/20,271
6/30/20,121
7/1/20,403
7/2/20,260
7/3/20,302
7/4/20,348
7/5/20,279
7/6/20,113
7/7/20,320
7/8/20,210
7/9/20,59
7/10/20,541
7/11/20,157
7/12/20,100
7/13/20,4
7/14/20,285
7/15/20,200
7/16/20,130
7/17/20,159
7/18/20,60
7/19/20,186
7/20/20,34
7/21/20,106
7/22/20,112
7/23/20,188
7/24/20,66
7/25/20,55
7/26/20,121
7/27/20,106
7/28/20,105
7/29/20,103
7/30/20,71
7/31/20,0
8/1/20,168
8/2/20,0
8/3/20,0
8/4/20,37
8/5/20,82
8/6/20,67
8/7/20,41
8/8/20,78
8/9/20,39
8/10/20,0
8/11/20,215
8/12/20,76
8/13/20,79
8/14/20,7
8/15/20,120
8/16/20,45
8/17/20,0
8/18/20,3
8/19/20,0
8/20/20,160
8/21/20,97
8/22/20,38
8/23/20,59
8/24/20,46
8/25/20,71
8/26/20,43
8/27/20,16
8/28/20,11
8/29/20,3
8/30/20,0
8/31/20,19
9/1/20,34
9/2/20,47
9/3/20,45
9/4/20,0
9/5/20,16
9/6/20,94
9/7/20,96
9/8/20,26
9/9/20,24
9/10/20,28
9/11/20,34
9/12/20,35
9/13/20,75
9/14/20,56
9/15/20,43
9/16/20,40
9/17/20,17
9/18/20,11
9/19/20,36
9/20/20,125
9/21/20,30
9/22/20,22
9/23/20,49
9/24/20,25
9/25/20,16
9/26/20,6
9/27/20,35
9/28/20,12
9/29/20,15
9/30/20,14
10/1/20,17
10/2/20,5
10/3/20,7
10/4/20,44
10/5/20,81
10/6/20,64
10/7/20,62
10/8/20,68
10/9/20,77
10/10/20,10
10/11/20,96
10/12/20,71
10/13/20,58
10/14/20,66
10/15/20,32
10/16/20,47
10/17/20,68
10/18/20,59
10/19/20,87
10/20/20,88
10/21/20,0
10/22/20,49
10/23/20,116
10/24/20,61
10/25/20,81
10/26/20,65
10/27/20,104
10/28/20,95
10/29/20,113
10/30/20,123
10/31/20,66
11/1/20,91
11/2/20,76
11/3/20,132
11/4/20,95
11/5/20,86
11/6/20,121
11/7/20,40
11/8/20,58
11/9/20,126
11/10/20,138
11/11/20,166
11/12/20,146
11/13/20,186
11/14/20,174
11/15/20,66
11/16/20,205
11/17/20,163
11/18/20,225
11/19/20,223
11/20/20,377
11/21/20,215
11/22/20,60
11/23/20,203
11/24/20,282
11/25/20,290
11/26/20,212
11/27/20,226
11/28/20,123
11/29/20,127
11/30/20,249
12/1/20,283
12/2/20,219
12/3/20,263
12/4/20,278
12/5/20,130
12/6/20,253
12/7/20,260
12/8/20,235
12/9/20,230
12/10/20,174
12/11/20,213
12/12/20,73
12/13/20,126
12/14/20,321
12/15/20,211
12/16/20,219
12/17/20,224
12/18/20,275
12/19/20,254
12/20/20,80
12/21/20,142
12/22/20,210
12/23/20,182
12/24/20,287
12/25/20,238
12/26/20,169
12/27/20,84
12/28/20,159
12/29/20,140
12/30/20,183
12/31/20,0
1/1/21,183
1/2/21,73
1/3/21,123
1/4/21,200
1/5/21,102
1/6/21,94
1/7/21,102
1/8/21,125
1/9/21,68
1/10/21,89
1/11/21,49
1/12/21,46
1/13/21,106
1/14/21,85
1/15/21,56
1/16/21,107
1/17/21,46
1/18/21,78
1/19/21,79
1/20/21,137
1/21/21,125
1/22/21,80
1/23/21,76
1/24/21,36
1/25/21,77
1/26/21,78
1/27/21,104
1/28/21,37
1/29/21,48
1/30/21,69
1/31/21,15
2/1/21,36
2/2/21,62
2/3/21,53
2/4/21,57
2/5/21,34
2/6/21,65
2/7/21,5
2/8/21,24
2/9/21,25
2/10/21,18
2/11/21,18
2/12/21,25
2/13/21,28
2/14/21,19
2/15/21,22
2/16/21,4
2/17/21,22
2/18/21,17
2/19/21,18
2/20/21,5
2/21/21,24
2/22/21,13
2/23/21,29
2/24/21,18
2/25/21,16
2/26/21,16
2/27/21,11
2/28/21,7
3/1/21,19
3/2/21,26
3/3/21,11
3/4/21,5
3/5/21,52
3/6/21,13
3/7/21,7
3/8/21,29
3/9/21,0
3/10/21,18
3/11/21,23
3/12/21,42
3/13/21,0
3/14/21,26
3/15/21,0
3/16/21,10
3/17/21,21
3/18/21,28
3/19/21,25
3/20/21,24
3/21/21,10
3/22/21,50
3/23/21,24
3/24/21,15
3/25/21,34
3/26/21,28
3/27/21,36
3/28/21,4
3/29/21,28
3/30/21,62
3/31/21,70
4/1/21,63
4/2/21,55
4/3/21,23
4/4/21,81
4/5/21,41
4/6/21,62
4/7/21,94
4/8/21,70
4/9/21,76
4/10/21,125
4/11/21,16
4/12/21,82
4/13/21,122
4/14/21,128
4/15/21,42
4/16/21,78
4/17/21,109
4/18/21,72
4/19/21,105
4/20/21,139
4/21/21,177
4/22/21,98
4/23/21,230
4/24/21,188
4/25/21,113
4/26/21,172
4/27/21,210
4/28/21,145
4/29/21,206
4/30/21,169
5/1/21,194
5/2/21,183
5/3/21,178
5/4/21,263
5/5/21,234
5/6/21,365
5/7/21,293
5/8/21,300
5/9/21,87
5/10/21,221
5/11/21,340
5/12/21,315
5/13/21,327
5/14/21,310
5/15/21,57
5/16/21,72
5/17/21,114
5/18/21,221
5/19/21,303
5/20/21,453
5/21/21,505
5/22/21,406
5/23/21,242
5/24/21,547
5/25/21,628
5/26/21,840
5/27/21,623
5/28/21,764
5/29/21,981
5/30/21,650
5/31/21,1077
6/1/21,1139
6/2/21,1049
6/3/21,1093
6/4/21,1509
6/5/21,1335
6/6/21,1261
6/7/21,1617
6/8/21,1485
6/9/21,1724
6/10/21,1842
6/11/21,1824
6/12/21,1024
6/13/21,1121
6/14/21,1597
